op,pid,latency_ticks,cs_ticks,flags
1,7,0,0,0
2,7,31697,27468,2
3,7,53575,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,109452,56234,0
2,7,610,0,0
3,7,53447,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,131292,78017,0
2,7,610,0,0
3,7,52536,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,58947,0,0
2,7,923,0,0
3,7,132397,78715,0
2,7,663,0,0
3,7,52558,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,131683,77385,0
2,7,610,0,0
3,7,52630,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,130719,77524,0
2,7,610,0,0
1,8,0,0,1
3,7,73087,0,0
2,7,1191,0,0
3,7,53077,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,134921,81194,0
2,7,610,0,0
3,7,52568,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,53246,0,0
2,7,610,0,0
3,7,130593,77442,0
2,7,734,0,0
3,7,52536,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
1,9,0,0,1
3,7,150178,77372,0
2,7,1415,0,0
3,7,53125,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,134048,80452,0
2,7,610,0,0
3,7,53392,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,130656,77439,0
2,7,610,0,0
3,7,52536,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
1,10,0,0,1
3,7,68904,0,0
2,7,992,0,0
3,7,134111,79716,0
2,7,663,0,0
3,7,52578,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,131681,77415,0
2,7,631,0,0
3,7,52536,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,130969,77752,0
2,7,610,0,0
3,7,53302,0,0
2,7,610,0,0
3,7,52549,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,130573,77410,0
2,7,610,0,0
3,7,52536,0,0
2,7,610,0,0
3,7,52993,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,130473,77386,0
2,7,744,0,0
3,7,52536,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,179712,125694,0
2,7,610,0,0
3,7,52645,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,131055,77426,0
2,7,610,0,0
3,7,52570,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,130471,77373,0
2,7,610,0,0
3,7,52536,0,0
2,7,610,0,0
3,7,53170,0,0
2,7,610,0,0
3,7,52549,0,0
2,7,610,0,0
3,7,130599,77489,0
2,7,610,0,0
3,7,52623,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,131637,77563,0
2,7,610,0,0
3,7,52570,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,132078,78232,0
2,7,610,0,0
3,7,52578,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,130835,77684,0
2,7,610,0,0
3,7,52568,0,0
2,7,610,0,0
3,7,53014,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,130695,77576,0
2,7,744,0,0
3,7,52536,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,131960,78052,0
2,7,610,0,0
3,7,52645,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,131477,77772,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,130499,77401,0
2,7,610,0,0
3,7,52536,0,0
2,7,610,0,0
3,7,53124,0,0
2,7,610,0,0
3,7,52549,0,0
2,7,610,0,0
3,7,130535,77425,0
2,7,610,0,0
3,7,52623,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,132059,77923,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,130835,77736,0
2,7,610,0,0
3,7,52578,0,0
2,7,610,0,0
3,7,52538,0,0
2,7,610,0,0
3,7,52526,0,0
2,7,610,0,0
3,7,131235,78008,0
2,7,610,0,0
3,7,52536,0,0
