op,pid,latency_ticks,cs_ticks,flags
1,7,0,0,0
2,7,27962,24796,2
3,7,21083,0,0
2,7,628,0,0
3,7,19991,0,0
2,7,628,0,0
3,7,19991,0,0
2,7,628,0,0
3,7,73019,52408,0
2,7,720,0,0
3,7,19991,0,0
2,7,72227,52769,0
3,7,39433,20357,0
2,7,39004,20423,0
3,7,39235,20256,0
2,7,38762,20266,0
3,7,39235,20256,0
2,7,25712,10267,2
3,7,20008,0,0
2,7,49063,30529,0
3,7,18473,0,0
2,7,34304,10306,0
3,7,40451,20796,0
2,7,21218,10267,2
3,7,20008,0,0
2,7,23817,20539,2
3,7,70509,49957,0
2,7,70609,52099,0
3,7,18455,0,0
2,7,39129,20557,0
3,7,39269,20257,0
2,7,28739,10267,0
3,7,19145,0,0
2,7,38877,20357,0
3,7,18473,0,0
2,7,28853,10380,0
3,7,18455,0,0
2,7,28762,10290,0
3,7,18455,0,0
2,7,38700,20240,0
3,7,40281,20240,0
2,7,48732,30234,0
3,7,39201,20240,0
2,7,38678,20217,0
1,8,0,0,0
2,8,44196,24255,0
3,8,39984,20674,0
2,8,38751,20245,0
3,8,18473,0,0
2,8,38680,20229,0
3,8,39178,20217,0
2,8,49374,30417,0
3,8,19223,0,0
2,8,59663,40706,0
3,8,19343,0,0
2,8,49210,30169,0
3,8,18457,0,0
2,8,28752,10277,0
3,8,18455,0,0
2,8,28718,10267,0
3,8,39178,20217,0
2,8,38668,20217,0
3,8,18455,0,0
2,8,38809,20277,0
3,8,39263,20284,0
2,8,49426,30446,0
3,8,18473,0,0
3,7,844876,360587,0
2,7,41419,21791,0
3,7,39802,20434,0
2,7,39424,20467,0
3,7,18587,0,0
2,7,49102,30388,0
3,7,18505,0,0
2,7,49391,30434,0
3,7,18455,0,0
2,7,38668,20217,0
3,7,18455,0,0
2,7,39486,20245,0
3,7,39270,20279,0
2,7,49522,30519,0
3,7,18473,0,0
2,7,49426,30446,0
3,7,18473,0,0
2,7,38720,20246,0
3,7,18473,0,0
2,7,28735,10284,0
3,7,39178,20217,0
2,7,28718,10267,0
3,7,39178,20217,0
2,8,848092,366914,0
3,8,18824,0,0
2,8,40127,21159,0
3,8,39238,20277,0
2,8,38690,20217,0
3,8,18455,0,0
2,8,39079,20549,0
3,8,18474,0,0
2,8,49436,30457,0
3,8,18515,0,0
2,8,48976,30503,0
3,8,39775,20240,0
2,8,38769,20217,0
3,8,39200,20239,0
2,8,38690,20217,0
3,8,39201,20240,0
2,8,38690,20217,0
3,8,18455,0,0
2,8,38859,20363,0
3,8,39267,20256,0
2,8,28739,10267,0
3,8,39201,20240,0
1,9,0,0,0
2,9,43931,24025,0
3,9,18729,0,0
2,9,40147,21279,0
3,9,18507,0,0
2,9,49650,30549,0
3,9,18455,0,0
